"","letter_size","noise_contrast","noise_decay_radius","eccentricity","HardOrSoft","TargetCross","mean_threshold","sd_threshold","squared_noise_contrast","mean_squared_threshod","sd_squared_threshold","Energy","Energy_at_unit_contrast","Noise_power_spectral_density","Neq","sd_Neq","mean_Efficiency","sd_Efficiency","RadiusRelative2letter_size"
"21",2.03775,0.2,2,32,"soft",0,0.692666204896153,0.00350721616507455,0.04,0.479792621687854,0.00485866022162529,0.419312973689337,2.274606173125,0.001660970025,4.16369669449995e-05,9.9511985678666e-07,0.0405032055798101,0.000968023059634078,1.96294933137038
"22",2.03775,0.2,5.65685424949238,32,"soft",0,0.750928898241586,0.0069120348953862,0.04,0.563918098327519,0.0103808934971995,0.608373513630842,2.274606173125,0.001660970025,2.84942669882104e-05,1.22819349708383e-06,0.035462827681385,0.0015285606176324,5.55205913335039
"23",2.03775,0.2,16,32,"soft",0,0.736015273361039,0.0237315397467859,0.04,0.542000075610102,0.034933551428018,0.556887822686906,2.274606173125,0.001660970025,3.15070492633739e-05,4.74946356572354e-06,0.0517362328422254,0.00779886909935362,15.7035946509631
"25",3.438703125,0,32,32,"soft",0,0.257462524882248,0.00637354996291938,0,0.0663072627883072,0.00328190053183276,0.0125113713441944,6.45758868655151,0,0,0,0,0,18.6116677344748
"27",3.438703125,0.16,1,32,"soft",0,0.322102292983296,0.00692872955697211,0.0256,0.103773890791734,0.00446351935552372,0.035192889889871,6.47729648518799,0.0030271178705625,0.00168968862659562,0.000259309756577687,0.227875957361839,0.0349712119163999,0.581614616702336
"29",3.438703125,0.16,1.73205080756888,32,"soft",0,0.417056987725001,0.00214968146885836,0.0256,0.17393884157546,0.00179307935594065,0.115445458881478,6.47729648518799,0.0030271178705625,0.000368068733578754,9.79787961912286e-06,0.136391513082759,0.00363070129120046,1.00738606655315
"31",3.438703125,0.16,3,32,"soft",0,0.562151360812687,0.0174893200596636,0.0256,0.31616709062163,0.019663290142457,0.45831814514261,6.47729648518799,0.0030271178705625,8.58803047173898e-05,1.26085934927331e-05,0.0620521816743453,0.00911024636723978,1.74484385010701
"33",3.438703125,0.16,5.19615242270663,32,"soft",0,0.590808049907519,0.00323103469296947,0.0256,0.349059371628119,0.00381784261227367,0.574010027876827,6.47729648518799,0.0030271178705625,6.74729127046006e-05,1.7369902271756e-06,0.0630153023661392,0.00162223564961108,3.02215819965943
"35",3.438703125,0.16,9,32,"soft",0,0.644876142779021,0.00285955361498079,0.0256,0.415869328048987,0.00368811581059722,0.859083156608022,6.47729648518799,0.0030271178705625,4.47469769577835e-05,9.2720117464637e-07,0.0446169205513272,0.000924506278565448,5.23453155032102
"37",3.438703125,0.16,32,32,"soft",0,0.628309971098109,0.0303117194208665,0.0256,0.395232819948431,0.0380903111065172,0.769356071704542,6.47729648518799,0.0030271178705625,5.13299366082356e-05,1.15023657406126e-05,0.0591730284119961,0.0132598997728986,18.6116677344748
"39",5.985890625,0,32,32,"soft",0,0.207545961998735,0.0162845865961112,0,0.0432079202222833,0.00675960038168317,0.0144220375517082,19.6273634235669,0,0,0,0,0,10.69180912406
"41",5.985890625,0.16,1,32,"soft",0,0.250592854102193,0.00109763323135903,0.0256,0.0627973809264383,0.000550118088407343,0.0335000181557021,19.6273634235669,0.0091727069630625,0.00693847798353793,0.00024574406717375,0.212274493112462,0.00751824786624223,0.334119035126874
"43",5.985890625,0.16,1.73205080756888,32,"soft",0,0.297689080464883,0.00769646064881355,0.0256,0.0886484063812869,0.00458230458675892,0.0742427339174362,19.6273634235669,0.0091727069630625,0.00223572637944715,0.000329623944597836,0.246305145884231,0.0363139579634883,0.578711144615637
"45",5.985890625,0.16,3,32,"soft",0,0.424083816970957,0.0142037871833046,0.0256,0.179947957601831,0.012047192568278,0.379517172688725,19.6273634235669,0.0091727069630625,0.000367023582908719,5.86247294654402e-05,0.117314475706525,0.0187386580071218,1.00235710538062
"47",5.985890625,0.16,5.19615242270663,32,"soft",0,0.566673899112241,0.00595642234171676,0.0256,0.321137047418627,0.0067506981462798,1.43588127589981,19.6273634235669,0.0091727069630625,9.31770240846705e-05,4.55438093231991e-06,0.0559739486648594,0.00273593932635406,1.73613343384691
"49",5.985890625,0.16,9,32,"soft",0,0.66958489067359,0.0298862006106754,0.0256,0.448790518311834,0.0400226967370961,3.12064862987261,19.6273634235669,0.0091727069630625,4.35036165141305e-05,8.92374107874765e-06,0.0417763157961292,0.00856942606754458,3.00707131614186
"51",5.985890625,0.16,32,32,"soft",0,0.669826490716059,0.00992260870798301,0.0256,0.448716756746776,0.0132928523392337,3.10301753822834,19.6273634235669,0.0091727069630625,4.29321701606547e-05,2.94031899619827e-06,0.039175530166833,0.00268303594028988,10.69180912406
