observer,trials,letter_size,noise_contrast,noise_decay_radius,eccentricity,p_accuracy,threshold_log_contrast,threshold_contrast_SD,contrast,log_E_by_N,efficiency,file_name
shivam,100,2.030625,0,0.5,8,0.75,-1.57123667170396,0.0181362179562631,-0.0268388144778189,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.22.46.mat
shivam,100,2.030625,0,2,8,0.75,-1.5693341893307,0.0181275541766339,-0.026956643221487,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.26.0.mat
shivam,100,2.030625,0,8,8,0.76,-1.57021743649052,0.0180946509389048,-0.0269018758118671,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.30.49.mat
shivam,100,2.030625,0,Inf,2,0.79,-1.49923975229587,0.0181062106961314,-0.0316781818601618,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.34.32.mat
shivam,100,2.030625,0,8,8,0.74,-1.57118914448099,0.0181783701129894,-0.0268417517569513,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.38.22.mat
shivam,100,2.030625,0,2,2,0.72,-1.57039694353283,0.0182613727899959,-0.026890758750756,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.41.37.mat
shivam,100,2.030625,0,8,0,0.73,-1.57198581455275,0.0181722123143536,-0.026792558364574,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.5.53.mat
shivam,100,2.030625,0,0.5,2,0.75,-1.56950933382296,0.0181815342708418,-0.0269457742008146,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.9.7.mat
shivam,100,2.030625,0,8,32,0.74,-1.02614686127677,0.0190049194479077,-0.0941571140432025,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.13.38.mat
shivam,100,2.030625,0,Inf,32,0.74,-1.12362394424127,0.0184032671742491,-0.0752274006429462,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.17.35.mat
shivam,100,2.030625,0,2,32,0.7,-1.08715951666112,0.0184943956165704,-0.0818164220659364,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.23.23.mat
shivam,100,2.030625,0,8,32,0.7,-0.996007700326901,0.0188737860686712,-0.100923499151763,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.27.28.mat
shivam,100,2.030625,0,Inf,32,0.66,-0.930603966694054,0.0190289853535568,-0.117326477848007,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.31.39.mat
shivam,100,2.030625,0,0.5,32,0.62,-1.06177346496967,0.0199605868370641,-0.0867414215066924,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.35.29.mat
shivam,100,2.030625,0,0.5,32,0.71,-1.09343274156039,0.0186730654342689,-0.0806431082279417,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.39.10.mat
shivam,100,2.030625,0.35,8,32,0.14,0.624658217867154,0.668717115681317,-4.21364766236423,9.02905231527489,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.43.24.mat
shivam,100,2.030625,0.35,2,32,0.11,0.719593390102576,0.640051721648658,-5.24316337168237,9.46043659845935,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.48.44.mat
shivam,100,2.030625,0.35,Inf,32,0.13,0.660087573361194,0.66037459953696,-4.57180368509305,9.20181674871026,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.52.51.mat
shivam,100,2.030625,0.35,0.5,32,0.73,-0.696220282055118,0.017789958869792,-0.201270311131257,2.94037368652442,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.56.29.mat
shivam,100,2.030625,0,2,32,0.75,-0.817773170977546,0.0183379031247189,-0.152134190868594,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.0.9.37.mat
shivam,100,2.030625,0.35,Inf,32,0.12,0.690797942475551,0.650727352058864,-4.90679532106765,9.32782866155519,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.1.0.16.mat
shivam,100,2.030625,0.35,2,32,0.08,0.78953626878446,0.610930868647948,-6.15936965072243,9.78253545808735,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.1.3.30.mat
shivam,100,2.030625,0.35,0.5,32,0.63,-0.801016073760782,0.0194070393753285,-0.158118951646285,2.45777123094448,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.1.7.1.mat
shivam,4,2.030625,0.35,0.5,32,0.75,-1.18274647665898,0.809037360407791,-0.0656528408871162,0.699837760432491,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.28.13.59.46.mat
