letter_size,noise_contrast,noise_decay_radius,eccentricity,HardOrSoft,TargetCross,mean_threshold,sd_threshold,squared_noise_contrast,mean_squared_threshold,sd_squared_threshold,mean_Energy,sd_Energy,Energy_at_unit_contrast,Noise_power_spectral_density,mean_Neq,sd_Neq,mean_Efficiency,sd_Efficiency
2.03775,0.16,5.094375,32,hard,1,0.764074294461009,0.0302234935751859,0.0256,0.584266257238034,0.0461859890592141,0.66303702160046,0.12014674479997,2.274606173125,0.001063020816,2.80792673271035e-05,5.22022994894261e-06,0.0231455651109105,0.00430300302246667
2.03775,0.16,8.9661,32,hard,1,0.678571311695081,0.0576238478845751,0.0256,0.462119278978095,0.0782037800879079,0.392824805449035,0.149993343330541,2.274606173125,0.001063020816,5.15201435750937e-05,2.05496543493872e-05,0.0414828587492186,0.0165461186550924
2.03775,0.16,Inf,32,soft,0,0.655724602280555,0.0317631803056159,0.0256,0.430479203847556,0.0416557975461311,0.328918494212865,0.0727985118881032,2.274606173125,0.001063020816,3.51131196241882e-05,8.021482828072e-06,0.0460608673599906,0.0105224617045917
2.03775,0.16,Inf,32,soft,1,0.67406903740104,0.0289688027291131,0.0256,0.454998460831433,0.0386886052682315,0.374067112077762,0.0711326866256453,2.274606173125,0.001063020816,5.15872219532838e-05,1.13500025753538e-05,0.0413528497640589,0.00909827925499308
2.03775,0.2,2,32,soft,0,0.692666204896153,0.00350721616507455,0.04,0.479792621687854,0.00485866022162529,0.419312973689337,0.00977653641249875,2.274606173125,0.001660970025,4.16369669449995e-05,9.9511985678666e-07,0.0405032055798101,0.000968023059634078
2.03775,0.2,5.65685424949238,32,soft,0,0.750928898241586,0.0069120348953862,0.04,0.563918098327519,0.0103808934971995,0.608373513630842,0.0257809659147915,2.274606173125,0.001660970025,2.84942669882104e-05,1.22819349708383e-06,0.035462827681385,0.0015285606176324
2.03775,0.2,16,32,soft,0,0.736015273361039,0.0237315397467859,0.04,0.542000075610102,0.034933551428018,0.556887822686906,0.0824015568415697,2.274606173125,0.001660970025,3.15070492633739e-05,4.74946356572354e-06,0.0517362328422254,0.00779886909935362
3.438703125,0,Inf,0,soft,0,0.159984609914975,0.00395062280409936,0,0.025602879119917,0.00126407769647009,0.00140325428069401,0.000159249740283345,6.47729648518799,0,0,0,0,0
3.438703125,0,Inf,32,soft,0,0.257462524882248,0.00637354996291938,0,0.0663072627883072,0.00328190053183276,0.0125113713441944,0.0013697235586453,6.45758868655151,0,0,0,0,0
3.438703125,0.16,1,0,soft,0,0.206854518235043,0.0112342204551659,0.0256,0.0428518955688694,0.00464769851999924,0.00462596053324027,0.00114561793786708,6.47729648518799,0.0030271178705625,0.001406989179979,0.000500161018924794,1.62409963224995,0.577340137692917
3.438703125,0.16,1,32,soft,0,0.322102292983296,0.00692872955697211,0.0256,0.103773890791734,0.00446351935552372,0.035192889889871,0.00348084194940807,6.47729648518799,0.0030271178705625,0.00168968862659562,0.000259309756577687,0.227875957361839,0.0349712119163999
3.438703125,0.16,1.73205080756888,0,soft,0,0.406078452280578,0.00234174308737729,0.0256,0.164902451286933,0.00190186281712183,0.10210238955184,0.00271120436198146,6.47729648518799,0.0030271178705625,4.21985378502012e-05,1.13614540562483e-06,0.141617436949475,0.00381288093245494
3.438703125,0.16,1.73205080756888,32,soft,0,0.417056987725001,0.00214968146885836,0.0256,0.17393884157546,0.00179307935594065,0.115445458881478,0.00274007462842201,6.47729648518799,0.0030271178705625,0.000368068733578754,9.79787961912286e-06,0.136391513082759,0.00363070129120046
3.438703125,0.16,3,0,soft,0,0.499563523947061,0.0173388965590869,0.0256,0.24971403312535,0.0173237605328221,0.266390834603839,0.0424070889645102,6.47729648518799,0.0030271178705625,1.62381837897588e-05,2.59866558181566e-06,0.103912451123994,0.0166295512942976
3.438703125,0.16,3,32,soft,0,0.562151360812687,0.0174893200596636,0.0256,0.31616709062163,0.019663290142457,0.45831814514261,0.065451518897474,6.47729648518799,0.0030271178705625,8.58803047173898e-05,1.26085934927331e-05,0.0620521816743453,0.00911024636723978
3.438703125,0.16,5.19615242270663,0,soft,0,0.567355948893699,0.0262712369915833,0.0256,0.322237861691603,0.029810285183942,0.480514263244748,0.101731585963968,6.47729648518799,0.0030271178705625,9.07051282183496e-06,1.9259788182847e-06,0.0763622162778428,0.0162142994511139
3.438703125,0.16,5.19615242270663,32,soft,0,0.590808049907519,0.00323103469296947,0.0256,0.349059371628119,0.00381784261227367,0.574010027876827,0.0144549514742218,6.47729648518799,0.0030271178705625,6.74729127046006e-05,1.7369902271756e-06,0.0630153023661392,0.00162223564961108
3.438703125,0.16,9,0,soft,0,0.539914705634467,0.00196909851371162,0.0256,0.291509828034831,0.00212629048879175,0.379078840181443,0.00636646067726163,6.47729648518799,0.0030271178705625,1.12488598089204e-05,1.89621533165083e-07,0.100915498544166,0.00170112810356909
3.438703125,0.16,9,32,soft,0,0.644876142779021,0.00285955361498079,0.0256,0.415869328048987,0.00368811581059722,0.859083156608022,0.0175417962750791,6.47729648518799,0.0030271178705625,4.47469769577835e-05,9.2720117464637e-07,0.0446169205513272,0.000924506278565448
